,id_question,question_description,subquestion_description,abbreviated_question
1598,2019,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Drug use,Drug use is common in my neighborhood
1599,2020,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Trade in drugs,Drug trafficking is common in my neighborhood
1600,2021,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Drug use,Drug use is common in my neighborhood
1601,2022,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Trade in drugs,Drug trafficking is common in my neighborhood
1602,2023,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Drug use,Drug use is common in my neighborhood
1603,2024,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Trade in drugs,Drug trafficking is common in my neighborhood
1604,2025,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Drug use,Drug use is common in my neighborhood
1605,2026,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Trade in drugs,Drug trafficking is common in my neighborhood
1606,2027,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Drug use,Drug use is common in my neighborhood
1607,2028,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Trade in drugs,Drug trafficking is common in my neighborhood
1608,2029,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Drug use,Drug use is common in my neighborhood
1609,2030,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Trade in drugs,Drug trafficking is common in my neighborhood
1610,2031,"Have you or someone in your household been the victim of the following incidents in the past 12 months? And if so, did it happen in your own neighborhood or somewhere else?","Burglary in your home, with theft",Been a victim of burglary/theft at home
1611,2032,"Have you or someone in your household been the victim of the following incidents in the past 12 months? And if so, did it happen in your own neighborhood or somewhere else?","Burglary in shed, garage or storage room",Been a victim of burglary in a barn/garage/storage room
1612,2033,"Have you or someone in your household been the victim of the following incidents in the past 12 months? And if so, did it happen in your own neighborhood or somewhere else?","(attempted) burglary in your home, without theft",Been a victim of (attempted) burglary in a home without theft
1613,2034,"Have you or someone in your household been the victim of the following incidents in the past 12 months? And if so, did it happen in your own neighborhood or somewhere else?",Damage or destruction (to your home or garden),Been a victim of damage/destruction to your home/garden
