VraagKey,VraagOmschrijving,DeelVraagOmschrijving,Verkorte_Vraagstelling
1938,In welke van onderstaande verenigingen / organisaties bent u de afgelopen 12 maanden actief geweest? Sportvereniging,Ik ben niet actief geweest in het verenigingsleven,Niet actief in verenigingsleven
1939,De volgende uitspraken gaan over de bewoners bij u in de buurt. Kunt u voor elke uitspraak aangeven in hoeverre u het hiermee eens of oneens bent?,Ik heb veel contact met andere buurtbewoners.,Veel contact met andere buurtbewoners
1940,Waarom heeft u geen melding gedaan bij de gemeente?,Andere reden,
1941,Op basis waarvan werd u voor uw gevoel oneerlijk of ongelijk behandeld? ,Handicap / Chronische ziekte (herberekend zonder nvt),Gevoel oneerlijk/ongelijk behandeld te zijn op geslacht (herberekend zonder nvt)
1942,Waar of wanneer was dit? ,Op straat in mijn buurt (herberekend zonder nvt),Oneerlijk/ongelijk behandeld op straat in mijn buurt (herberekend zonder nvt)
1943,Waar of wanneer was dit? ,Bij het vinden van een (huur)huis,Oneerlijk/ongelijk behandeld bij vinden van een (huur)huis
1944,Waarom heeft u geen melding gedaan bij de gemeente?,Geen antwoord,
1945,Krijgt u ergens hulp bij?,Administratie / financiën,Krijg hulp bij administratie/financiën
1946,Wat vindt u van de volgende stellingen over uw huidige woning?,De woning is verouderd.,Woning is verouderd
1947,Kunt u zich goed redden als het gaat om: ,het aangaan en onderhouden van sociale contacten (herberekend zonder nvt),Kan zich goed redden met het aangaan en onderhouden van sociale contacten (herberekend zonder nvt)
1948,Wat heeft u toen gedaan? (Meer antwoorden mogelijk),Niks,Niks gedaan met personen die overlast veroorzaken in de buurt
1949,Waar of wanneer was dit? ,Op het werk / bij het vinden van werk,Oneerlijk/ongelijk behandeld op het werk / bij het vinden van werk
1950,In hoeverre bent u het eens of oneens met onderstaande uitspraken over de gemeente?,De gemeente luistert naar de mening van haar burgers.,De gemeente luistert naar de mening van haar burgers
1951,"Wanneer u hulp of zorg nodig heeft, kunt u dan terugvallen op:",familie,Kan terugvallen op familie
1952,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Geluidsoverlast door verkeer,Geluidsoverlast  door verkeer komt (soms) vaak  voor in mijn buurt
1953,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Geluidsoverlast door verkeer,Geluidsoverlast  door verkeer komt (soms) vaak  voor in mijn buurt
1954,Wat vindt u van de volgende stellingen over uw huidige woning?,De woning is slecht onderhouden.,Woning is slecht onderhouden
1955,Kunt u zich goed redden als het gaat om: ,de opvoeding van uw kinderen (herberekend zonder nvt),Kan zich goed redden met de opvoeding van kinderen (herberekend zonder nvt)
1956,Wilt u met een rapportcijfer aangeven hoe tevreden of ontevreden u bent over:,de veiligheid in uw buurt,Tevreden over de veiligheid in buurt
1957,Heeft u het idee dat het volgende in uw buurt voorkomt en wat zijn uw gevoelens daarbij?,Illegale bedrijvigheid,Illegale bedrijvigheid komen voor in de buurt
1958,De volgende uitspraken gaan over de bewoners bij u in de buurt. Kunt u voor elke uitspraak aangeven in hoeverre u het hiermee eens of oneens bent?,"Ik woon in een gezellige buurt, waar mensen elkaar helpen en dingen samen doen.",Woon in gezellige buurt
1959,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?","Vrouwen en meisjes die op straat worden nagefloten, nageroepen, of op een andere manier ongewenst aandacht krijgen",Ongewenste aandacht op straat
1960,Op basis waarvan werd u voor uw gevoel oneerlijk of ongelijk behandeld? ,Leeftijd,Gevoel oneerlijk/ongelijk behandeld te zijn op leeftijd
1961,Krijgt u ergens hulp bij?,Het aangaan en onderhouden van sociale contacten,Hulp bij aangaan en onderhouden van sociale contacten
1962,Hoe ontmoet u vooral de mensen uit uw buurt? Kies maximaal 3 manieren,In het buurthuis/gemeenschapshuis,Ontmoet de mensen uit mijn buurt in het buurthuis/gemeenschapshuis
1963,Hoe ontmoet u vooral de mensen uit uw buurt? Kies maximaal 3 manieren,Bij elkaar thuis,Ontmoet de mensen uit mijn buurt bij elkaar thuis
1964,Wat heeft u de afgelopen 12 maanden gedaan en wat zou u willen doen voor uw buurt?,Helpen met het organiseren van (sociale en of jeugd-) activiteiten voor de buurt.,Helpen met organiseren van activiteiten voor de buurt
1965,Welke van de onderstaande activiteit(en) is of zijn op u van toepassing?,Ik verricht betaald werk voor minder dan 12 uur in de week (1-11 uur).,Verricht betaald werk (1-11uur per week)
1966,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Agressief gedrag in het verkeer,Agressief gedrag in het verkeer komt (soms) vaak voor in mijn buurt
1967,Hoe ontmoet u vooral de mensen uit uw buurt? Kies maximaal 3 manieren,Bij elkaar thuis,Ontmoet de mensen uit mijn buurt bij elkaar thuis
1968,De volgende uitspraken gaan over de openbare ruimte in uw buurt. Kunt u voor elke uitspraak aangeven in hoeverre u het hiermee eens of oneens bent?,"straten, paden en trottoirs in mijn buurt zijn goed begaanbaar.","Straten, paden en trottoirs in mijn buurt zijn goed begaanbaar"
1969,Heeft u voor uw woning:,Heeft u: een werkende rookmelder,Werkende rookmelder voor mijn woning
1970,Bent u iemand dieàà,zich door moeilijke tijden heen weet te slaan,Weet zich door moeilijke tijden heen te slaan
1971,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?","Drugsgebruik of handel in drugs, bijvoorbeeld op straat of in coffeeshops",Drugsgebruik komt vaak voor in mijn buurt
1972,"Is uw buurt in de afgelopen 2 jaar veranderd wat betreft uiterlijk, sfeer en/of veiligheid?",De sfeer,De sfeer is veranderd in mijn buurt
1973,De volgende uitspraken gaan over de openbare ruimte in uw buurt. Kunt u voor elke uitspraak aangeven in hoeverre u het hiermee eens of oneens bent?, Mijn buurt is schoon.,Mijn buurt is schoon
1974,Wat is uw postcode?,,Wat is uw postcode?
1975,Hoe denkt u dat Bredanaars die niet in uw buurt wonen tegen uw buurt aankijken?,,Hoe denkt u dat Bredanaars die niet in uw buurt wonen tegen uw buurt aankijken?
1976,De Gemeente Breda heeft een online burgerpanel: DigiPanel Breda. Een aantal keer per jaar wordt Bredanaars in een korte enquOte om hun mening gevraagd.,Wilt u lid worden van dit DigiPanel Breda?,Ben lid van DigiPanel Breda
1977,Kunt u zich goed redden als het gaat om: ,uw psychische/geestelijke gezondheid (herberekend zonder nvt),Kan zich goed redden met psychische/geestelijke gezondheid (herberekend zonder nvt)
1978,In welke mate heeft u zich de afgelopen 12 maanden ingezet voor anderen?,"hulp aan buren (helpen met klussen, boodschap e.d.)",Geef hulp aan buren
1979,Kunt u zich goed redden als het gaat om:,uw lichamelijke gezondheid,Kan zich goed redden met lichamelijke gezondheid
1980,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Scheiding,Verhuisd vanwege scheiding
1981,Hoe tevreden bent u over het aanbod / de nabijheid van de volgende voorzieningen in uw buurt ?,gezondheidszorgvoorzieningen,Tevreden over aanbod gezondheidszorgvoorzieningen in de buurt
1982,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Overlast van zwervers en daklozen,Overlast van zwervers/daklozen komt (soms) vaak  voor in mijn buurt
1983,In hoeverre kunt u zich vinden in de volgende uitspraken?,In het afgelopen jaar ben ik mij meer betrokken gaan voelen bij de buurt waar ik woon,Voelt meer betrokken bij de buurt waar ik woon
1984,Kunt u zich goed redden als het gaat om:,huishoudelijke taken,Kan zich goed redden met huishoudelijke taken
1985,Wilt u zich opgeven voor,Geen van alle,
1986,Op basis waarvan werd u voor uw gevoel oneerlijk of ongelijk behandeld? ,Handicap / Chronische ziekte,Gevoel oneerlijk/ongelijk behandeld te zijn op geslacht
1987,In wat voor type woning woont u?,In wat voor type woning woont u?,Type woning
1988,In welke mate heeft u zich de afgelopen 12 maanden ingezet voor anderen?,mantelzorg aan een gezinslid of familielid,Geef mantelzorg aan gezinslid/familielid
1989,In wat voor type woning woont u?,In wat voor type woning woont u?,Type woning
1990,Hoe vaak heeft u de volgende activiteiten de afgelopen 12 maanden ondernomen in uw vrije tijd?,Sportieve activiteiten (zelf sporten of sportwedstrijden bezoeken).,Vaak sportieve activiteiten gedaan
1991,Wat heeft u toen gedaan? (Meer antwoorden mogelijk),Niks,Niks gedaan met personen die overlast veroorzaken in de buurt
1992,Op basis waarvan werd u voor uw gevoel oneerlijk of ongelijk behandeld? ,Handicap / Chronische ziekte,Gevoel oneerlijk/ongelijk behandeld te zijn op geslacht
1993,De volgende uitspraken gaan over de bewoners bij u in de buurt. Kunt u voor elke uitspraak aangeven in hoeverre u het hiermee eens of oneens bent?,Ik zou niet zo snel weggaan uit deze buurt.,Gaat niet snel weg uit deze buurt
1994,Wat is voor u de belangrijkste reden om binnen twee jaar te willen verhuizen? ,Open antwoord bij gesloten vraag,
1995,Op basis waarvan werd u voor uw gevoel oneerlijk of ongelijk behandeld? ,Geslacht,Gevoel oneerlijk/ongelijk behandeld te zijn op geslacht
1996,Waarom heeft u geen melding gedaan bij de gemeente?,Geen zin of tijd voor gehad,Geen zin/tijd gehad voor melding bij de gemeente
1997,Hoe ziet de samenstelling van uw huishouden op dit adres er uit?,,Hoe ziet de samenstelling van uw huishouden op dit adres er uit?
1998,In wat voor type woning woont u?,Open antwoord bij gesloten vraag,Ander soort type woning
1999,Voelt u zich wel eens eenzaam of alleen?,,Voel me eenzaam of alleen
2000,Welke van de onderstaande activiteit(en) is of zijn op u van toepassing?,Ik ben huisvrouw/huisman.,Ik ben huisvrouw/huisman
2001,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Zelfstandig gaan wonen,Verhuisd om zelfstandig te wonen
2002,Wilt u zich opgeven voor,Verloting,Ogegeven voor verloting
2003,Krijgt u ergens hulp bij?,"Het lopen, zitten en gaan staan","Krijg hulp bij het lopen, zitten en gaan staan"
2004,Hoe tevreden bent u over het aanbod / de nabijheid van de volgende voorzieningen in uw buurt ?,openbaar vervoer,Tevreden over aanbod openbaar vervoer
2005,In welk soort woonomgeving woont u op dit moment?,In welk soort woonomgeving woont u op dit moment?,In welk soort woonomgeving woont u op dit moment?
2006,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,"Iets anders, namelijk",
2007,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Bedreiging,Bedreigingen komen vaak voor in mijn buurt
2008,Wilt u zich opgeven voor,Verloting,Ogegeven voor verloting
2009,In hoeverre bent u het eens of oneens met onderstaande uitspraken over de gemeente?,De gemeente luistert naar de mening van haar burgers.,De gemeente luistert naar de mening van haar burgers
2010,Wat heeft u toen gedaan? (Meer antwoorden mogelijk),Hem/haar zelf geholpen,Hem/haar zelf geholpen
2011,In hoeverre bent u het eens of oneens met onderstaande uitspraken over de gemeente?,"De gemeente betrekt burgers voldoende bij haar plannen, activiteiten en voorzieningen.","De gemeente betrekt burgers voldoende bij haar plannen, activiteiten en voorzieningen"
2012,In welke van onderstaande verenigingen / organisaties bent u de afgelopen 12 maanden actief geweest? Sportvereniging,Overige (vrijetijds)vereniging,Actief bij overige (vrijetijds)vereniging
2013,Heeft u het idee dat het volgende in uw buurt voorkomt en wat zijn uw gevoelens daarbij?,Illegale bedrijvigheid,Illegale bedrijvigheid komen voor in de buurt
2014,Kunt u zich goed redden als het gaat om: ,uw psychische/geestelijke gezondheid (herberekend zonder nvt),Kan zich goed redden met psychische/geestelijke gezondheid (herberekend zonder nvt)
2015,Wat heeft u toen gedaan? (Meer antwoorden mogelijk),"Melding gedaan bij een andere organisatie: GGD Meldpunt Zorg & Overlast, crisisdienst, wijkteam, zorginstelling","Melding gedaan bij  ondere organisatie: GGD, Meldpunt Zorg & Overlast, crisisdienst, wijkteam, zorginstelling"
2016,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Ik wilde een huurwoning in plaats van een koopwoning,Verhuisd om te huren in plaats van te kopen
2019,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Drugsgebruik,Drugsgebruik komt vaak voor in mijn buurt
2020,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Handel in drugs,Handel in drugs komt vaak voor in mijn buurt
2021,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Drugsgebruik,Drugsgebruik komt vaak voor in mijn buurt
2022,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Handel in drugs,Handel in drugs komt vaak voor in mijn buurt
2023,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Drugsgebruik,Drugsgebruik komt vaak voor in mijn buurt
2024,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Handel in drugs,Handel in drugs komt vaak voor in mijn buurt
2025,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Drugsgebruik,Drugsgebruik komt vaak voor in mijn buurt
2026,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Handel in drugs,Handel in drugs komt vaak voor in mijn buurt
2027,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Drugsgebruik,Drugsgebruik komt vaak voor in mijn buurt
2028,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Handel in drugs,Handel in drugs komt vaak voor in mijn buurt
2029,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Drugsgebruik,Drugsgebruik komt vaak voor in mijn buurt
2030,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Handel in drugs,Handel in drugs komt vaak voor in mijn buurt
2031,"Bent u zelf of is iemand uit uw huishouden de afgelopen 12 maanden het slachtoffer geweest van de volgende voorvallen? En zo ja, gebeurde dat in uw eigen buurt of ergens anders?","Inbraak in uw woning, met diefstal",Slachtoffer geweest van inbraak/diefstal in woning 
2032,"Bent u zelf of is iemand uit uw huishouden de afgelopen 12 maanden het slachtoffer geweest van de volgende voorvallen? En zo ja, gebeurde dat in uw eigen buurt of ergens anders?","Inbraak in schuur, garage of berging",Slachtoffer  geweest van  inbraak  in schuur/garage/berging
2033,"Bent u zelf of is iemand uit uw huishouden de afgelopen 12 maanden het slachtoffer geweest van de volgende voorvallen? En zo ja, gebeurde dat in uw eigen buurt of ergens anders?","(poging tot) Inbraak in uw woning, zonder diefstal",Slachtoffer geweest van (poging) tot inbraak in woning zonder diefstal
2034,"Bent u zelf of is iemand uit uw huishouden de afgelopen 12 maanden het slachtoffer geweest van de volgende voorvallen? En zo ja, gebeurde dat in uw eigen buurt of ergens anders?",Beschadiging of vernieling (aan uw huis of tuin),Slachtoffer geweest van beschadiging/vernieling aan huis/tuin
